1,1990,1.647,225.532,0.007,0.448,0.001,0,0.08,0.138,0,0.183,0,0.007,0.687,0.039
2,1991,1.634,231.288,0.007,0.398,0.001,0,0.105,0.151,0,0.185,0,0.007,0.687,0.036
3,1992,1.843,228.696,0.008,0.467,0.003,0,0.155,0.151,0,0.21,0.016,0.007,0.736,0.033
4,1993,1.862,231.368,0.008,0.37,0.019,0,0.162,0.158,0,0.268,0.043,0.007,0.736,0.034
5,1994,2.528,230.739,0.011,0.438,0.03,0,0.188,0.17,0,0.385,0.101,0.007,1.108,0.034
6,1995,2.644,230.886,0.011,0.416,0.034,0,0.199,0.193,0,0.411,0.101,0.007,1.182,0.035
7,1996,2.581,243.392,0.011,0.292,0.042,0,0.249,0.193,0,0.396,0.101,0.007,1.194,0.041
8,1997,2.611,240.756,0.011,0.378,0.057,0,0.317,0.192,0,0.465,0.101,0.007,0.991,0.038
9,1998,3.013,246.79,0.012,0.44,0.075,0,0.402,0.181,0,0.649,0.112,0.007,1.077,0.04
10,1999,3.148,246.112,0.013,0.459,0.073,0,0.572,0.189,0,0.633,0.148,0.007,0.959,0.033
11,2000,3.164,248.037,0.013,0.437,0.081,0,0.731,0.169,0,0.678,0.159,0.015,0.766,0.036
12,2001,3.27,252.807,0.013,0.348,0.083,0,0.836,0.168,0,0.731,0.199,0.076,0.716,0.033
13,2002,3.575,244.98,0.015,0.412,0.108,0,0.892,0.174,0,0.795,0.195,0.061,0.716,0.035
14,2003,3.802,248.011,0.015,0.278,0.111,0,1.088,0.165,0.003,0.816,0.181,0.085,0.719,0.037
15,2004,4.407,249.249,0.018,0.418,0.166,0,1.327,0.177,0.005,0.79,0.164,0.08,0.778,0.04
16,2005,5.026,249.704,0.02,0.423,0.25,0.001,1.421,0.206,0.005,0.794,0.158,0.071,1.019,0.036
17,2006,5.38,243.557,0.022,0.395,0.363,0.001,1.465,0.19,0.006,0.856,0.147,0.075,0.992,0.035
18,2007,5.579,239.041,0.023,0.437,0.453,0.001,1.547,0.211,0.007,0.882,0.152,0.071,0.96,0.034
19,2008,6.463,235.284,0.027,0.442,0.612,0.001,1.554,0.23,0.009,0.91,0.179,0.079,1.206,0.031
20,2009,7.258,220.872,0.033,0.45,0.798,0.002,1.626,0.249,0.016,1.089,0.176,0.076,1.214,0.033
21,2010,7.94,227.221,0.035,0.309,0.884,0.003,1.725,0.295,0.043,1.093,0.182,0.086,1.398,0.05
22,2011,8.846,213.972,0.041,0.489,1.373,0.021,1.758,0.318,0.088,1.087,0.212,0.08,1.537,0.048
23,2012,9.523,216.058,0.044,0.457,1.707,0.116,1.722,0.306,0.177,1.26,0.196,0.092,1.811,0.049
24,2013,11.238,213.781,0.053,0.4,2.442,0.173,1.711,0.32,0.252,1.182,0.207,0.105,2.518,0.082
25,2014,13.332,202.499,0.066,0.51,2.748,0.349,1.664,0.343,0.367,1.464,0.208,0.129,3.133,0.082
26,2015,16.075,203.941,0.079,0.54,3.463,0.648,1.612,0.366,0.522,1.952,0.222,0.167,4.166,0.08
27,2016,16.75,202.261,0.083,0.46,3.195,0.894,1.556,0.387,0.761,2.392,0.227,0.247,4.164,0.053
28,2017,18.656,197.273,0.095,0.51,4.268,0.985,1.419,0.398,0.925,2.561,0.216,0.261,4.236,0.089
29,2018,21.034,198.125,0.106,0.47,4.893,1.089,1.298,0.407,0.982,2.932,0.214,0.259,4.913,0.107
30,2019,22.871,192.5,0.119,0.5,5.485,1.082,1.202,0.434,1.016,3.255,0.222,0.335,5.37,0.068
31,2020,24.472,169.439,0.144,0.58,6.481,1.131,1.16,0.44,1.021,3.367,0.223,0.338,5.478,0.074